user_id,username,text,dateUTC
12290624353,perpetualinfinities,i miss you,2019-05-01 15:21:52
8746629610,nerffed.politics,@lydiabutler26 like taking $450 million dollar speaking engagements from banks after leaving office? I think you meant Bernie Sanders.,2019-05-01 15:21:29
8746629610,nerffed.politics,"Let's listen to a war criminal who took 2 Bush wars to 7 about how to make the world a better place. The guy who said ""let's let it play out when confronted with the violence at standing Rock. The guy who kicked 5 million families out on the streets, siding with bankers. The guy who let the police crack the heads of protestors and locked up journalists for espionage. The guy who promised to end war and end torture as a candidate then did the opposite.",2019-05-01 15:20:18
7567903182,just_rollin87,We miss you president obama,2019-05-01 15:19:01
5812914542,maxiwin777,So proud to see a Vietnamese woman in this video ❤️🇻🇳💛,2019-05-01 15:17:50
4760443927,elainerichard5163,You inspire me and give me so much hope for now and in the future!,2019-05-01 15:16:47
797013125,mari.leeite,"We are waiting for you, here in Brazil to Vtex Day 💖",2019-05-01 15:10:45
10641129920,ltybmym,Ya you can change the world by will,2019-05-01 15:09:54
4102025477,sohrabi.farzaneh,@michelkaraaslan1907 I don't know,2019-05-01 15:06:25
9384318417,_m_nazish_,U r best then trump,2019-05-01 15:03:51
104934384,bestcoastsam,Please come back and save America. 🇺🇸,2019-05-01 15:00:16
1288903601,_gabe2910,@sustainablelivingactivist no,2019-05-01 14:58:42
53164549,rammvis,"@jstreisant i commute 2 hours to and from work try again dumb dumb, what makes you special.",2019-05-01 14:57:25
1566815977,jstreisant,@rammvis lazy I worked my whole life without asking anybody for any help for anything not like you people,2019-05-01 14:54:52
9673544803,pibroening,good afternoon all,2019-05-01 14:50:10
12290624353,perpetualinfinities,i miss you,2019-05-01 15:21:52
8746629610,nerffed.politics,@lydiabutler26 like taking $450 million dollar speaking engagements from banks after leaving office? I think you meant Bernie Sanders.,2019-05-01 15:21:29
8746629610,nerffed.politics,"Let's listen to a war criminal who took 2 Bush wars to 7 about how to make the world a better place. The guy who said ""let's let it play out when confronted with the violence at standing Rock. The guy who kicked 5 million families out on the streets, siding with bankers. The guy who let the police crack the heads of protestors and locked up journalists for espionage. The guy who promised to end war and end torture as a candidate then did the opposite.",2019-05-01 15:20:18
7567903182,just_rollin87,We miss you president obama,2019-05-01 15:19:01
5812914542,maxiwin777,So proud to see a Vietnamese woman in this video ❤️🇻🇳💛,2019-05-01 15:17:50
4760443927,elainerichard5163,You inspire me and give me so much hope for now and in the future!,2019-05-01 15:16:47
797013125,mari.leeite,"We are waiting for you, here in Brazil to Vtex Day 💖",2019-05-01 15:10:45
10641129920,ltybmym,Ya you can change the world by will,2019-05-01 15:09:54
4102025477,sohrabi.farzaneh,@michelkaraaslan1907 I don't know,2019-05-01 15:06:25
9384318417,_m_nazish_,U r best then trump,2019-05-01 15:03:51
104934384,bestcoastsam,Please come back and save America. 🇺🇸,2019-05-01 15:00:16
1288903601,_gabe2910,@sustainablelivingactivist no,2019-05-01 14:58:42
53164549,rammvis,"@jstreisant i commute 2 hours to and from work try again dumb dumb, what makes you special.",2019-05-01 14:57:25
1566815977,jstreisant,@rammvis lazy I worked my whole life without asking anybody for any help for anything not like you people,2019-05-01 14:54:52
9673544803,pibroening,good afternoon all,2019-05-01 14:50:10
12290624353,perpetualinfinities,i miss you,2019-05-01 15:21:52
8746629610,nerffed.politics,@lydiabutler26 like taking $450 million dollar speaking engagements from banks after leaving office? I think you meant Bernie Sanders.,2019-05-01 15:21:29
